id_staff,nom,prenom,role,departement,date_recrutement
601,Douiri,Rachid,Communication,Génie Civil,2019-12-10
602,Gharbi,Omar,Communication,Informatique,2020-01-08
603,El Fassi,Nadia,Comptabilité,Juridique,2015-04-20
604,Karimi,Fatima,RH,Informatique,2021-11-02
605,Naciri,Ayoub,Communication,Electrotechnique,2020-01-26
606,Naciri,Sara,Bibliothèque,Génie Civil,2017-09-12
607,Douiri,Mehdi,Communication,Génie Civil,2021-11-01
608,Jabri,Sanaa,RH,Génie Civil,2013-12-30
609,Gharbi,Omar,RH,Informatique,2021-12-31
610,Wahbi,Nadia,Communication,Informatique,2019-11-28
611,Benali,Meriem,RH,Génie Civil,2019-08-07
612,Bennani,Ghita,Comptabilité,Génie Civil,2013-10-24
613,Saadi,Meriem,Scolarité,Electrotechnique,2015-07-07
614,Alaoui,Yassine,RH,Economie,2021-02-08
615,Gharbi,Loubna,Communication,Management,2020-01-13
616,Alaoui,Khalid,RH,Economie,2010-03-06
617,Bennani,Sara,Communication,Electrotechnique,2020-11-01
618,Rachidi,Hind,Bibliothèque,Economie,2020-06-15
619,Ziani,Nadia,Communication,Electrotechnique,2018-09-16
620,Alaoui,Ayoub,Bibliothèque,Informatique,2021-11-29
621,Bennani,Meriem,Scolarité,Génie Civil,2015-10-12
622,Ouali,Sanaa,Comptabilité,Génie Civil,2012-12-06
623,Idrissi,Loubna,Scolarité,Informatique,2010-05-03
624,Moussaoui,Ayoub,Communication,Informatique,2011-01-14
625,Douiri,Amina,Scolarité,Electrotechnique,2021-04-21
626,Lamrani,Sanaa,Bibliothèque,Informatique,2012-10-26
627,Bennani,Omar,Scolarité,Management,2011-06-17
628,Chraibi,Ayoub,Comptabilité,Economie,2015-01-13
629,Chraibi,Karim,RH,Management,2019-07-18
630,Saadi,Meriem,Bibliothèque,Génie Civil,2021-01-21
